layers,prove_layers_parallel_wall_s,decoder_total_s,layer,prove_layer_s
1,13.401,14.455,0,13.401
2,13.831,14.912,0,13.597
2,13.831,14.912,1,13.831
3,14.177,15.332,0,13.914
3,14.177,15.332,1,14.159
3,14.177,15.332,2,14.177
4,14.405,15.573,0,14.125
4,14.405,15.573,1,14.369
4,14.405,15.573,2,14.405
4,14.405,15.573,3,14.292
5,14.58,15.775,0,14.307
5,14.58,15.775,1,14.552
5,14.58,15.775,2,14.58
5,14.58,15.775,3,14.441
5,14.58,15.775,4,14.317
6,16.128,17.505,0,15.737
6,16.128,17.505,1,16.053
6,16.128,17.505,2,16.128
6,16.128,17.505,3,16.061
6,16.128,17.505,4,15.929
6,16.128,17.505,5,16.033
7,17.191,18.639,0,16.916
7,17.191,18.639,1,17.063
7,17.191,18.639,2,17.141
7,17.191,18.639,3,17.072
7,17.191,18.639,4,16.757
7,17.191,18.639,5,17.045
7,17.191,18.639,6,17.19
8,18.518,20.035,0,18.335
8,18.518,20.035,1,18.487
8,18.518,20.035,2,18.518
8,18.518,20.035,3,18.382
8,18.518,20.035,4,18.178
8,18.518,20.035,5,18.223
8,18.518,20.035,6,18.324
8,18.518,20.035,7,18.402
9,19.43,21.011,0,19.029
9,19.43,21.011,1,19.43
9,19.43,21.011,2,19.408
9,19.43,21.011,3,19.35
9,19.43,21.011,4,19.003
9,19.43,21.011,5,19.329
9,19.43,21.011,6,19.172
9,19.43,21.011,7,19.396
9,19.43,21.011,8,19.341
10,20.435,22.126,0,20.073
10,20.435,22.126,1,20.347
10,20.435,22.126,2,20.435
10,20.435,22.126,3,20.197
10,20.435,22.126,4,20.203
10,20.435,22.126,5,20.282
10,20.435,22.126,6,20.264
10,20.435,22.126,7,20.414
10,20.435,22.126,8,20.266
10,20.435,22.126,9,20.404
11,21.54,23.311,0,21.284
11,21.54,23.311,1,21.447
11,21.54,23.311,2,21.527
11,21.54,23.311,3,21.38
11,21.54,23.311,4,21.324
11,21.54,23.311,5,21.11
11,21.54,23.311,6,21.208
11,21.54,23.311,7,21.248
11,21.54,23.311,8,21.54
11,21.54,23.311,9,21.344
11,21.54,23.311,10,21.463
